GRADUATEYEAR,STUDENTID,CalculusforScience,FundamentalsOfProgramming,HistoryAndDevelopmentOfComputerTechnology,MathematicsForScience,ObjectOrientedProgramming,ThaiLanguageSkills,PoliticsEconomyandSociety,PhilosophyOfScience,ManAndEnvironment,LifeSkills,LanguageSocietyAndCulture,EnglishCriticalReadingForEffectiveCommunication,ComputerArchitecture,DataStructure,DatabaseSystems,DiscreteMathematicsForComputerScience,LinearAlgebraAndApplications,OperatingSystems,StatisticalAnalysis,EnglishWritingForEffectiveCommunication,AlgorithmDesignandAnalysis,ArtificialIntelligence,ComputerNetworkAndDataCommunication,SoftwareEngineering,DataMiningTechniques,MobileApplicationDevelopment,MultimediaAnd WebTechnology,SensingAndActuationForInternetOfThings,CommunicativeEnglishForAcademicAnalysisInComputerTechnology,CommunicativeEnglishForResearchPresentationInComputerTechnology,CommunicativeEnglishForSpecificPurposesInComputerTechnology,DataScience,DevelopmentalEnglish,DigitalImageProcessing,DigitalMarketing,EnergyAndTechnologyAroundUs,FundamentalEnglish,FundamentalLawsForQualityOfLife,InternetProgramming,IntroductionToComputerInformationScience,IntroductionToRobotics,LifeAndHealth,LifePrivacy,MultimediaApplicationDevelopment,MusicStudiesInThaiCulture,ProgrammingLanguages,Seminar,SpecialTopicsInComputerScience,SystemAnalysisAndDesign,GPAgraduate
2564,100239685,0,2.5,3.841071429,1,2,3.5,2.95412844,3.5,4,4,2.5,4,2.5,2.5,3.5,3,2.453405018,3,1.5,2,3,2.5,1.5,2,4,2.5,3.5,2.977040816,3.5,4,2.5,2.680645161,4,2.861111111,3.120481928,4,4,3.5,2.553191489,2.838709677,3.5,3.458333333,3.421875,3.5,3.5,3,2.5,2.858208955,3.5,2.82
2562,100239696,1.5,2,3.841071429,1,1,3,2,2.5,2.5,3.844117647,2.5,3,1,1,1.5,2,2.453405018,2,1,3,1,3.5,2,1.5,2.5,2.81127451,2.5,2.977040816,2,3,1.5,2.680645161,3.5,2.861111111,3.120481928,3,3,2.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,3.416666667,1.5,3.5,2,3,2.14
2562,100239699,1.5,4,3.841071429,2.5,4,3,3.5,2.5,3.5,3.844117647,2.5,4,4,1.5,4,3.5,2.453405018,2,3,2.5,3,3,2,3.5,2.5,4,2,2.977040816,3.5,3.5,3.5,2.680645161,4,2.861111111,3.120481928,3.5,4,3,2.553191489,2.838709677,2,3.458333333,3.421875,3.303571429,3.416666667,3.5,2.5,2.5,3.5,2.88
2562,100239728,1.5,2.5,3.841071429,0,1,3,2.5,2,2.5,3.844117647,2.5,3.5,1,1,2,1.5,2.453405018,2,1.5,3,2,2,2,1.5,2.5,2.81127451,3,2.977040816,2.5,4,2.5,2.680645161,3.5,2.861111111,3.120481928,2.5,3.5,2.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,4,2,3,2.5,3,2.31
2562,100239743,1.5,2,3.841071429,1.5,1,2.5,2.5,2.5,3.5,3.844117647,2.5,3.5,2.5,2.5,2.5,2,2.453405018,2,1.5,2,2,2.5,1,1.5,3,2.5,2.5,2.977040816,2,3,3,2.680645161,4,2.861111111,3.120481928,2.5,3.5,2.5,2.553191489,2.838709677,2,3.458333333,3.421875,3.303571429,3.5,3,4,2.858208955,2,2.18
2562,100239751,3,4,3.841071429,3,4,3.5,2.95412844,3,4,4,3,4,4,4,3.5,4,2.453405018,3.5,4,4,4,4,3.5,4,3,4,4,2.977040816,4,4,4,2.680645161,4,2.861111111,3.120481928,4,4,4,2.553191489,2.838709677,3.5,3.458333333,3.421875,3.5,4,4,4,4,4,3.79
2562,100239765,3,3,3.841071429,4,3.5,3.5,2.95412844,3,3,3.5,2.5,3,3.5,1.5,2.5,3.5,2.453405018,2,4,2,4,3,2,2.5,4,2.81127451,3.5,2.977040816,2.5,3,2,2.680645161,3,2.861111111,3.120481928,4,3,3,2.553191489,2.838709677,4,3.458333333,3.421875,4,3,3,3,2.858208955,2,3.04
2562,100239799,2.5,3.5,3.841071429,2,2.5,3,2.95412844,2.5,4,4,2,2,2.5,2,4,3,2.453405018,2,3.5,1,2,3,2,1.5,2,2.5,2.5,2.977040816,2.5,2,1.5,2.680645161,3.5,2.861111111,3.120481928,4,2,2.5,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,4,2,3.5,2.858208955,3,2.78
2562,100239815,1.5,2.5,3.841071429,1,1,3,2.95412844,2.5,3.5,4,3,3.5,1,1,3.5,2,2.453405018,2,2,2,2,3.5,2,3.5,2.5,3,2,2.977040816,3.5,2.5,2.5,2.680645161,4,2.861111111,3.120481928,3.5,3.5,3,2.553191489,2.838709677,2.5,3.458333333,3.421875,3.303571429,3.5,2,4,2.858208955,4,2.58
2563,100239827,0,1.5,3.841071429,1,0,2.5,2.95412844,2,3,3,2.5,1.5,1.5,1,0,2,2.453405018,2,0,3.5,1.5,1,1,1,2.5,2.81127451,2,2.977040816,1.5,1,1.5,2.680645161,4,2.861111111,3.120481928,2.5,1.5,2,2.553191489,2.838709677,2.805882353,3.458333333,3.421875,3,4,2,2.5,2.858208955,1.5,2
