GRADUATEYEAR,STUDENTID,CalculusforScience,FundamentalsOfProgramming,HistoryAndDevelopmentOfComputerTechnology,MathematicsForScience,ObjectOrientedProgramming,ThaiLanguageSkills,PoliticsEconomyandSociety,PhilosophyOfScience,ManAndEnvironment,LifeSkills,LanguageSocietyAndCulture,EnglishCriticalReadingForEffectiveCommunication,ComputerArchitecture,DataStructure,DatabaseSystems,DiscreteMathematicsForComputerScience,LinearAlgebraAndApplications,OperatingSystems,StatisticalAnalysis,EnglishWritingForEffectiveCommunication,AlgorithmDesignandAnalysis,ArtificialIntelligence,ComputerNetworkAndDataCommunication,SoftwareEngineering,DataMiningTechniques,MobileApplicationDevelopment,MultimediaAnd WebTechnology,SensingAndActuationForInternetOfThings,Seminar,SystemAnalysisAndDesign,GPAgraduate
2562,100239934,D+,A,,D+,B+,B,B,C+,B+,,C+,C+,B,C,C+,C+,,C+,C,D+,C+,D+,C,C+,C,A,C+,,B,C+,2.39
2566,100239968,D+,C+,,D,C,B,,B,B+,A,C,C,C,B,F,C+,,C+,D+,C,C,C,D+,D,C,,D,,B,D+,2.01
2563,100239990,F,D+,,F,C,C+,D+,C,B+,B+,C,B,C,D,D+,C+,,C,D+,D+,D,D+,F,C,C+,,C+,,C+,B,2.15
2562,100240018,D,C+,,D,C,B,,C+,B+,A,B,C+,C,D,D,C,,C,C,B,C,D+,D+,D+,C+,,C+,,B,C,2.19
2562,100240030,C+,B+,,C,A,B+,C,C+,A,,C+,A,A,C,B+,B+,,C,C+,C+,A,B+,C,B+,B,A,B+,,B+,B+,3.08
2562,100240059,C+,A,,C,A,B+,,C+,A,A,B,B+,A,A,B+,B+,,C+,B,C+,B+,B+,C,B,C+,B+,B+,,A,A,3.25
2562,100240060,D+,C+,,D+,B+,B,C,C+,B+,,C,A,B,D,C,B,,C,B+,B,D,C,D+,D+,C+,C,C,,B,C,2.36
2562,100240078,C,C+,,D,C,B,A,C+,B+,,C+,C,B,C+,C+,B,,C,D+,D,B,B,D+,C+,C+,C+,D+,,A,C,2.38
2562,100240098,D,C,,D,D,B,,C,B,C+,C+,B+,C,D+,D,B,,C,C,B+,C,D+,C,C,C+,,C,,B+,C,2.32
2562,100240108,C,C,,D,C,C+,,C,B,B+,C+,C+,C+,D+,D+,B,,C+,C,C,C,C,C,D,C+,,C+,,B+,C,2.28
2563,100248951,D,B,A,D,B+,C+,,,,,,B,C+,C,D,D,C,B+,D,C,C,C+,D+,B,C,B,,,A,C+,2.41
2563,100248958,D,A,B+,C,C+,C,C+,,B+,,,C,B+,C,B+,C+,C+,B,D,C,B,C+,C,B,B,C,,C,B+,B+,2.49
2563,100248986,D+,B,B+,F,B,B,B,,,,B+,C+,C+,C,B+,B,B,B,D+,C,B+,B,C,B+,C+,,,B,A,C+,2.84
2564,100248988,D,B,A,D,C,C,,,,A,B,C+,C,D+,D+,C,C,C+,D,C,C,C+,F,C,C,,,C+,A,C,2.12
2564,100248992,F,B+,B+,F,C+,C,,,,,,C,C,D,D,D,C,C+,F,C,D+,D,D+,C,C,D,,C+,A,C,2.09
2563,100249007,D,A,A,B,A,C,C+,,,,C+,C+,C,C,C,B+,B,B,D,C,D+,C,C,B,B,D,,,B,B,2.49
2564,100249009,D,C+,B+,C,C+,C+,C,,,,C+,C,C,D,D,C,C+,C+,D,D+,D+,D+,D,C,C+,D,,,B+,C,2
2563,100249020,D+,A,A,C,A,C+,B,,,,B,A,B+,B,B,A,A,B+,C+,A,B,A,A,A,B+,,,A,B+,A,3.45
2563,100249022,D+,C+,A,D+,C+,C+,,,,A,C+,C+,B,D+,B+,C,B,B+,D,C+,C,C+,C,A,C+,C+,,B,A,A,2.71
2563,100249048,C,A,A,D,B,B,,,,A,B+,B,C,D+,B,C+,B,B+,D,C,C+,A,D,B,C,D+,,B+,A,B+,2.73
2563,100249055,D,A,C+,D,C,C,,,,A,C+,C+,C+,D+,C,D,B+,C+,D,C,C,C+,F,C,C,,,C+,A,C+,2.1
2564,100249056,F,A,A,D+,B,C+,,,,,B,A,C,C,F,D,D,B,F,B,D,D+,D,C,,D+,,B,B,D,2.03
2563,100249069,C,B+,A,F,B,C,,,,,D+,D+,C+,C,A,C+,C,C+,D,C,C+,D+,D+,C+,C,,,A,C+,C+,2.38
